"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sel2_SRR1719013","sel2_SRR1719014","sel2_SRR1719015","sel2_SRR1719016","sel2_SRR1719017","sel2_SRR1719018","sel2_SRR1719204","sel2_SRR1719206","sel2_SRR1719207","sel2_SRR1719208","sel2_SRR1719209","sel2_SRR1719211","sel2_SRR1719212","sel2_SRR1719213","sel2_SRR1719214","sel2_SRR1719241","sel2_SRR1719242","sel2_SRR1719266"
"47","maker-NW_015504334.1-augustus-gene-16.5-mRNA-1",5.70674287409374,0.298458141809251,0.253112189705926,1.17915356884238,0.238337030926923,0.471191076469072,5.16263468782835,1.21616513626496,1.06779902770404,1.87044399676435,20.3056319243678,11.3042042426243,1.11153044918922,6.09811661110475,2.28600453182413,0,2.89469898440201,11.3057098856834,9.61099889052359,3.07193857196018,7.79508654384819,2.83929149811509,14.781116751483,0
"48","maker-NW_015504334.1-augustus-gene-17.22-mRNA-1",407.190226127557,0.0851347766614181,0.174285554568243,0.488478674393425,0.625210827405856,0.784578293215192,326.536644005143,440.251779327917,312.865115117283,460.129223204029,392.575550537777,221.736313989937,467.954319108663,248.803157733074,250.317496234742,678.049366423675,373.416168987859,390.481826051682,461.327946745132,522.229557233231,415.265519517731,388.982935241768,367.788963875135,610.712186961256
"49","maker-NW_015504334.1-augustus-gene-17.32-mRNA-1",185.459081734874,-0.264342495659149,0.168756390718077,-1.56641472678067,0.117251557494513,0.288619218448033,169.076286026378,262.691669433232,214.627604568512,184.238733681288,204.184409906142,166.084846949326,347.909030596227,184.163121655363,142.875283239008,166.782274610801,199.734229923738,147.843898505091,185.011728642579,162.81274431389,107.005278920098,211.527216609574,139.116392955134,142.578720691344
"50","maker-NW_015504334.1-augustus-gene-17.35-mRNA-1",0.976113578352179,0.0778663582910567,0.139195653092498,0.559402226729833,0.575887242039523,NA,1.29065867195709,0,0,0.935221998382173,0,6.95643338007647,4.44612179675689,0,0,0,0,0.869669991206418,0,3.07193857196018,0,0,0,0
"51","maker-NW_015504334.1-augustus-gene-18.2-mRNA-1",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","maker-NW_015504334.1-augustus-gene-18.3-mRNA-1",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","maker-NW_015504334.1-augustus-gene-2.29-mRNA-1",3912.83364745208,-0.134993918335006,0.159350056963291,-0.84715324806005,0.396909708547253,0.651339008898056,4229.48846800337,4396.43696759784,6201.77675290506,3448.16350803507,3992.31285446319,5486.01727436281,3487.98254955578,4852.88119911716,5154.94021926341,3417.05112625225,2997.46079834828,2951.65995015458,3230.89746036435,3449.01903166829,4093.83772398282,2106.7542916014,4382.16637808671,2552.15910037505
"54","maker-NW_015504334.1-augustus-gene-2.7-mRNA-1",561.758314388145,0.314889612302537,0.132344386328662,2.37931975082452,0.0173446233804356,0.0702025903526146,442.695924481281,619.028054358867,518.950327464163,633.145292904731,870.885991422884,558.253778751137,411.266266200012,404.914942977355,552.070094435527,498.361320563228,421.178702230492,656.600843360846,504.577441752488,543.733127236952,565.498096544623,479.840263181451,735.577927750269,695.071263370301
"55","maker-NW_015504334.1-augustus-gene-2.8-mRNA-1",301.307523969715,0.194816456001131,0.146785944337708,1.32721465178519,0.184437686999382,0.428917731338289,277.491614470774,346.607063835515,259.475163732082,294.594929490384,337.299108076998,248.692493337734,220.083028939466,209.165399760893,251.460498500654,320.658777971957,243.154714689769,423.529285717526,262.700636340978,294.906102908177,345.109740623097,289.607732807739,335.61829800426,463.380842246867
"56","maker-NW_015504334.1-augustus-gene-20.0-mRNA-1",368.335906585779,-0.0660717421856787,0.147802301372119,-0.447027830908608,0.654854965414064,0.792948645331186,308.467422597744,538.761155365379,426.051812053912,442.360005234768,360.98901198876,446.950844669913,371.2511700292,290.880162349696,354.33070243274,364.339849893834,267.759656057186,477.448825172324,367.620707562527,399.352014354823,325.976346379106,234.241548594495,366.919486419165,286.345597388449
"57","maker-NW_015504334.1-augustus-gene-22.2-mRNA-1",80.4700192933032,-0.538062104012831,0.206500687076724,-2.60561895279756,0.00917084231608667,0.0652148786921719,96.7994003967815,93.6447154924022,114.254495964332,0,0,0,120.045288512436,140.256682055409,141.732280973096,303.78200018396,254.733510627377,162.6282883556,0,0,0.708644231258926,19.8750404868056,0,0
"58","maker-NW_015504334.1-augustus-gene-22.6-mRNA-1",162.624197472236,-1.77678835090477,0.265604660721013,-6.68959778823717,2.23784805225109e-11,1.4322227534407e-09,138.100477899408,243.233027252993,238.119183178001,3.74088799352869,0,2.60866251752868,344.574439248659,292.709597333028,188.595373875491,693.933392577084,438.546896136904,335.692616605677,4.0045828710515,0.767984642990045,0,0,2.60843236790876,0
"59","maker-NW_015504334.1-augustus-gene-3.1-mRNA-1",468.179058036512,-0.107157931412978,0.168990808009578,-0.63410508935435,0.526012241607859,0.74058430805676,441.405265809324,439.035614191652,416.441620804575,389.052351326984,379.038462588198,399.994919354397,689.148878497318,584.199571343835,476.631944885331,467.586019890997,418.28400324609,402.657205928572,519.794856662484,867.054661935761,233.143952084187,350.652500017214,505.166401918329,447.934814171972
"60","maker-NW_015504334.1-augustus-gene-3.14-mRNA-1",108.462860944475,-0.401542757385886,0.202025070201793,-1.9875887531424,0.0468571911905458,0.136311828917951,156.169699306808,154.45297230565,66.2035397176504,124.384525784829,47.3798078235248,47.8254794880257,134.495184351896,177.455193383148,102.870203932086,85.3766405745769,96.9724159774672,132.189838663376,135.354901041541,122.109558235417,60.2347596570087,80.9198076962801,126.943708571559,100.993260489702
"61","maker-NW_015504334.1-augustus-gene-4.13-mRNA-1",224.468971171915,0.127147291826884,0.157052599495355,0.809584128091078,0.418179233301584,0.669086773282534,187.145507433778,295.528128112386,199.678418180655,227.258945606868,288.791209591008,287.822431100664,224.529150736223,165.868771822049,168.021333089073,244.216902108673,221.444472306754,163.497958346807,277.117134676763,178.17243717369,206.215471296348,180.295010130308,192.154517769278,332.683681613135
